class_id,image_path,name,xmax,xmin,ymax,ymin,lat,long
3,4a48c42c9579ec0399e6c5a3e825e765.jpg,GARBAGE,1594.0,1402.0,524.0,422.0,24.6425682,46.5960831
3,4a48c42c9579ec0399e6c5a3e825e765.jpg,GARBAGE,1864.0,1572.0,658.0,476.0,24.6425682,46.5960831
3,4a48c42c9579ec0399e6c5a3e825e765.jpg,GARBAGE,1472.0,1314.0,550.0,458.0,24.6425682,46.5960831
7,ea906a663da6321bcef78be4b7d1afff.jpg,BAD_BILLBOARD,1972.0,1572.0,272.0,0.0,24.661620199999998,46.7091087
8,1c7d48005a12d1b19261b8e71df7cafe.jpg,SAND_ON_ROAD,1334.0,1098.0,456.0,358.0,24.5669033,46.7550189
8,1c7d48005a12d1b19261b8e71df7cafe.jpg,SAND_ON_ROAD,1598.0,1256.0,476.0,352.0,24.5669033,46.7550189
8,8ca1b825716ea6755180fde347ac79c1.jpg,SAND_ON_ROAD,1064.0,868.0,392.0,294.0,24.6357799,46.6050622
0,8ca1b825716ea6755180fde347ac79c1.jpg,GRAFFITI,1098.0,942.0,354.0,262.0,24.6357799,46.6050622
0,8ca1b825716ea6755180fde347ac79c1.jpg,GRAFFITI,1334.0,1130.0,364.0,246.0,24.6357799,46.6050622
2,e1f3026bc4b1689d81f03e92e9043c2b.jpg,POTHOLES,1682.0,1280.0,816.0,568.0,24.705426499999998,46.8101543
3,c12b006174423ceb3e2e3563a8ca7751.jpg,GARBAGE,1196.0,936.0,1114.0,974.0,24.578703,46.7695377
3,7fb40d10dde6d5643aa8e197b6b46c2e.jpg,GARBAGE,1702.0,1382.0,448.0,314.0,24.654114699999997,46.7097228
3,7fb40d10dde6d5643aa8e197b6b46c2e.jpg,GARBAGE,1330.0,1232.0,440.0,326.0,24.654114699999997,46.7097228
3,f05cd6411a3509a5ddc9d9a52536df01.jpg,GARBAGE,1848.0,1628.0,532.0,360.0,24.676700500000003,46.8025241
2,f05cd6411a3509a5ddc9d9a52536df01.jpg,POTHOLES,734.0,396.0,598.0,480.0,24.676700500000003,46.8025241
3,b08b7961553eac0b24c7e871836fad9c.jpg,GARBAGE,500.0,144.0,676.0,496.0,24.6674185,46.789981999999995
3,b08b7961553eac0b24c7e871836fad9c.jpg,GARBAGE,210.0,0.0,672.0,512.0,24.6674185,46.789981999999995
3,b08b7961553eac0b24c7e871836fad9c.jpg,GARBAGE,640.0,372.0,676.0,510.0,24.6674185,46.789981999999995
3,b08b7961553eac0b24c7e871836fad9c.jpg,GARBAGE,882.0,648.0,674.0,520.0,24.6674185,46.789981999999995
3,b08b7961553eac0b24c7e871836fad9c.jpg,GARBAGE,1030.0,800.0,660.0,530.0,24.6674185,46.789981999999995
3,b08b7961553eac0b24c7e871836fad9c.jpg,GARBAGE,1398.0,1228.0,664.0,538.0,24.6674185,46.789981999999995
9,467758955ec29fa2475ef6887c29b751.jpg,CLUTTER_SIDEWALK,990.0,222.0,624.0,404.0,24.6361959,46.6144599
9,467758955ec29fa2475ef6887c29b751.jpg,CLUTTER_SIDEWALK,1886.0,772.0,670.0,398.0,24.6361959,46.6144599
7,9d100eb428edef6626df335ebf4a9def.jpg,BAD_BILLBOARD,1876.0,1446.0,336.0,68.0,24.6537972,46.712268400000006
9,6d75b772e8a8857fc8b1151c3cbe2f99.jpg,CLUTTER_SIDEWALK,930.0,0.0,796.0,624.0,24.6632784,46.708563100000006
9,6d75b772e8a8857fc8b1151c3cbe2f99.jpg,CLUTTER_SIDEWALK,1338.0,612.0,738.0,620.0,24.6632784,46.708563100000006
9,6d75b772e8a8857fc8b1151c3cbe2f99.jpg,CLUTTER_SIDEWALK,1960.0,1088.0,780.0,588.0,24.6632784,46.708563100000006
3,8b4f8d79a3cc1144cab8f88a478e171b.jpg,GARBAGE,1392.0,934.0,652.0,430.0,24.6433972,46.6117934
3,8b4f8d79a3cc1144cab8f88a478e171b.jpg,GARBAGE,1042.0,824.0,882.0,736.0,24.6433972,46.6117934
4,cbc51ac48e7d68a22d17837af794cffa.jpg,CONSTRUCTION_ROAD,1074.0,0.0,904.0,324.0,24.6942667,46.7718321
4,cbc51ac48e7d68a22d17837af794cffa.jpg,CONSTRUCTION_ROAD,2120.0,564.0,874.0,374.0,24.6942667,46.7718321
8,ee3c87485169dbd1a19e5911e67390f6.jpg,SAND_ON_ROAD,1136.0,958.0,448.0,332.0,24.5894724,46.792456
3,ee3c87485169dbd1a19e5911e67390f6.jpg,GARBAGE,1368.0,1150.0,586.0,440.0,24.5894724,46.792456
3,ee3c87485169dbd1a19e5911e67390f6.jpg,GARBAGE,190.0,68.0,458.0,382.0,24.5894724,46.792456
2,f6e45cdb24e1bfc3214308ff1ddd2de2.jpg,POTHOLES,1290.0,824.0,1178.0,646.0,24.6868097,46.808026899999994
2,f6e45cdb24e1bfc3214308ff1ddd2de2.jpg,POTHOLES,1564.0,1166.0,1138.0,676.0,24.6868097,46.808026899999994
0,beb51ff57e6429ea85c715e5b381deeb.jpg,GRAFFITI,1992.0,1536.0,380.0,64.0,24.6624512,46.7054519
3,beb51ff57e6429ea85c715e5b381deeb.jpg,GARBAGE,792.0,612.0,752.0,620.0,24.6624512,46.7054519
5,9ec0107501b37091e28853fafd3bec87.jpg,BROKEN_SIGNAGE,1366.0,1132.0,578.0,418.0,24.583921,46.7741158
2,3fe43374bd1816998ad96704da640c60.jpg,POTHOLES,1796.0,758.0,1052.0,624.0,24.6860602,46.8130822
2,3fe43374bd1816998ad96704da640c60.jpg,POTHOLES,462.0,0.0,1150.0,764.0,24.6860602,46.8130822
2,3fe43374bd1816998ad96704da640c60.jpg,POTHOLES,644.0,310.0,1080.0,900.0,24.6860602,46.8130822
4,bc2e9e57a48ebccec901fb8a3822a1eb.jpg,CONSTRUCTION_ROAD,2054.0,1190.0,702.0,244.0,24.6175617,46.725535400000005
4,bc2e9e57a48ebccec901fb8a3822a1eb.jpg,CONSTRUCTION_ROAD,286.0,0.0,614.0,206.0,24.6175617,46.725535400000005
7,bc2e9e57a48ebccec901fb8a3822a1eb.jpg,BAD_BILLBOARD,1444.0,1230.0,362.0,274.0,24.6175617,46.725535400000005
7,bc2e9e57a48ebccec901fb8a3822a1eb.jpg,BAD_BILLBOARD,1344.0,1086.0,376.0,268.0,24.6175617,46.725535400000005
3,df61a2072657c6babd6d3f68cffbdf2e.jpg,GARBAGE,1800.0,1626.0,520.0,386.0,24.5781286,46.769854
0,df61a2072657c6babd6d3f68cffbdf2e.jpg,GRAFFITI,1930.0,1650.0,484.0,328.0,24.5781286,46.769854
3,df61a2072657c6babd6d3f68cffbdf2e.jpg,GARBAGE,1668.0,1510.0,538.0,422.0,24.5781286,46.769854
3,f0e0bd29cb5c035d5bd0dad5d1dc6f49.jpg,GARBAGE,1038.0,934.0,448.0,330.0,24.7067317,46.7852792
3,74819fbb61d24c7e3887885c5f07d8db.jpg,GARBAGE,652.0,524.0,624.0,532.0,24.5829605,46.7655077
3,74819fbb61d24c7e3887885c5f07d8db.jpg,GARBAGE,1490.0,1324.0,844.0,752.0,24.5829605,46.7655077
3,4218ea76033c0d0612ba5d68bdcacaa7.jpg,GARBAGE,1678.0,1286.0,520.0,392.0,24.654324799999998,46.8208757
3,4218ea76033c0d0612ba5d68bdcacaa7.jpg,GARBAGE,1452.0,1126.0,510.0,396.0,24.654324799999998,46.8208757
3,4218ea76033c0d0612ba5d68bdcacaa7.jpg,GARBAGE,1192.0,1036.0,498.0,390.0,24.654324799999998,46.8208757
0,4218ea76033c0d0612ba5d68bdcacaa7.jpg,GRAFFITI,1460.0,1040.0,468.0,288.0,24.654324799999998,46.8208757
3,bd12de2d2c008b2c5f16f3c16af1b5a1.jpg,GARBAGE,874.0,780.0,480.0,392.0,24.6720741,46.736328
3,bd12de2d2c008b2c5f16f3c16af1b5a1.jpg,GARBAGE,598.0,438.0,562.0,434.0,24.6720741,46.736328
9,782429d6375c7e7b9a6875d6c1528c1a.jpg,CLUTTER_SIDEWALK,666.0,230.0,478.0,312.0,24.6711254,46.7613571
9,782429d6375c7e7b9a6875d6c1528c1a.jpg,CLUTTER_SIDEWALK,1510.0,1046.0,520.0,336.0,24.6711254,46.7613571
4,1b39cbe0913f552cefe1c254991720b1.jpg,CONSTRUCTION_ROAD,1250.0,0.0,998.0,300.0,24.621446900000002,46.723666800000004
4,1b39cbe0913f552cefe1c254991720b1.jpg,CONSTRUCTION_ROAD,2074.0,720.0,1164.0,158.0,24.621446900000002,46.723666800000004
7,a33a221e5394da9294b9b3a6c815608b.jpg,BAD_BILLBOARD,680.0,272.0,512.0,302.0,24.604740200000002,46.7783927
3,e0691951be7371f43c3aa4bf7d684f7d.jpg,GARBAGE,1636.0,1412.0,798.0,666.0,24.5832181,46.7724672
3,e0691951be7371f43c3aa4bf7d684f7d.jpg,GARBAGE,1472.0,1272.0,744.0,514.0,24.5832181,46.7724672
3,e0691951be7371f43c3aa4bf7d684f7d.jpg,GARBAGE,1378.0,1058.0,786.0,606.0,24.5832181,46.7724672
7,abeec3825d4a59a2404492d1f8095732.jpg,BAD_BILLBOARD,1564.0,1190.0,368.0,188.0,24.6392851,46.7179462
7,abeec3825d4a59a2404492d1f8095732.jpg,BAD_BILLBOARD,1842.0,1586.0,376.0,194.0,24.6392851,46.7179462
7,abeec3825d4a59a2404492d1f8095732.jpg,BAD_BILLBOARD,1338.0,1128.0,356.0,230.0,24.6392851,46.7179462
7,abeec3825d4a59a2404492d1f8095732.jpg,BAD_BILLBOARD,1328.0,1144.0,436.0,302.0,24.6392851,46.7179462
9,b3cc08ddf4d48858afba0750bc68d33e.jpg,CLUTTER_SIDEWALK,922.0,514.0,538.0,388.0,24.583908299999997,46.7955155
9,b3cc08ddf4d48858afba0750bc68d33e.jpg,CLUTTER_SIDEWALK,696.0,192.0,644.0,426.0,24.583908299999997,46.7955155
9,b3cc08ddf4d48858afba0750bc68d33e.jpg,CLUTTER_SIDEWALK,402.0,14.0,734.0,476.0,24.583908299999997,46.7955155
9,61b9703264d680a9675a6e9c93843690.jpg,CLUTTER_SIDEWALK,538.0,216.0,492.0,368.0,24.6612825,46.822415500000005
9,61b9703264d680a9675a6e9c93843690.jpg,CLUTTER_SIDEWALK,348.0,0.0,564.0,358.0,24.6612825,46.822415500000005
3,d031ed0dd9382f2c8237cafbabeaac66.jpg,GARBAGE,330.0,164.0,794.0,632.0,24.6621234,46.7048812
0,b079df7a0c498c361028fc7e97e31034.jpg,GRAFFITI,1428.0,1252.0,480.0,306.0,24.666317099999997,46.7111213
0,f60f46f4ad0735d5ea79a9e0d91cfb39.jpg,GRAFFITI,936.0,700.0,370.0,238.0,24.6903397,46.815676599999996
0,f60f46f4ad0735d5ea79a9e0d91cfb39.jpg,GRAFFITI,1026.0,854.0,350.0,246.0,24.6903397,46.815676599999996
0,f60f46f4ad0735d5ea79a9e0d91cfb39.jpg,GRAFFITI,1172.0,1002.0,352.0,220.0,24.6903397,46.815676599999996
3,cd64144b5f4950113e887fa74c1c7d24.jpg,GARBAGE,1370.0,1230.0,510.0,432.0,24.5884614,46.7930163
3,cd64144b5f4950113e887fa74c1c7d24.jpg,GARBAGE,1498.0,1374.0,664.0,546.0,24.5884614,46.7930163
3,cd64144b5f4950113e887fa74c1c7d24.jpg,GARBAGE,1492.0,1380.0,532.0,434.0,24.5884614,46.7930163
3,ca43bf28ce699b15ffbf89b69a89f3ef.jpg,GARBAGE,1338.0,706.0,408.0,308.0,24.576253,46.7881624
3,259d85cc9b38d649c8fd2d1a8aca1c16.jpg,GARBAGE,570.0,450.0,510.0,422.0,24.722739899999997,46.666700299999995
0,e36ea4d90a6c3275af7393b209a47ac1.jpg,GRAFFITI,1974.0,1574.0,410.0,262.0,24.681589000000002,46.7404132
3,55d207b4843a5d0334dd3c8bbe4fe616.jpg,GARBAGE,1364.0,1022.0,470.0,250.0,24.650089299999998,46.828993100000005
3,55d207b4843a5d0334dd3c8bbe4fe616.jpg,GARBAGE,1054.0,830.0,458.0,272.0,24.650089299999998,46.828993100000005
3,55d207b4843a5d0334dd3c8bbe4fe616.jpg,GARBAGE,836.0,616.0,408.0,254.0,24.650089299999998,46.828993100000005
3,55d207b4843a5d0334dd3c8bbe4fe616.jpg,GARBAGE,504.0,286.0,442.0,242.0,24.650089299999998,46.828993100000005
2,55d207b4843a5d0334dd3c8bbe4fe616.jpg,POTHOLES,1510.0,640.0,1134.0,630.0,24.650089299999998,46.828993100000005
2,55d207b4843a5d0334dd3c8bbe4fe616.jpg,POTHOLES,850.0,6.0,1062.0,588.0,24.650089299999998,46.828993100000005
2,55d207b4843a5d0334dd3c8bbe4fe616.jpg,POTHOLES,930.0,620.0,966.0,622.0,24.650089299999998,46.828993100000005
2,55d207b4843a5d0334dd3c8bbe4fe616.jpg,POTHOLES,1572.0,1132.0,1140.0,736.0,24.650089299999998,46.828993100000005
3,e7c44d1cb8519bcba132223b90e73bf8.jpg,GARBAGE,956.0,802.0,570.0,442.0,24.5849042,46.775917899999996
3,e7c44d1cb8519bcba132223b90e73bf8.jpg,GARBAGE,232.0,140.0,906.0,814.0,24.5849042,46.775917899999996
3,acfd67a6c4fa0e79b1df6f812e194b48.jpg,GARBAGE,238.0,100.0,752.0,620.0,24.6393159,46.6083256
3,7caec937db266ace0466635c30c246c8.jpg,GARBAGE,1076.0,796.0,702.0,554.0,24.655323,46.7039331
3,7caec937db266ace0466635c30c246c8.jpg,GARBAGE,802.0,694.0,706.0,606.0,24.655323,46.7039331
3,7caec937db266ace0466635c30c246c8.jpg,GARBAGE,304.0,196.0,344.0,232.0,24.655323,46.7039331
3,7caec937db266ace0466635c30c246c8.jpg,GARBAGE,144.0,0.0,344.0,210.0,24.655323,46.7039331
3,7caec937db266ace0466635c30c246c8.jpg,GARBAGE,832.0,676.0,424.0,348.0,24.655323,46.7039331
4,382632315c7400b3ae1eed539a23e892.jpg,CONSTRUCTION_ROAD,916.0,734.0,482.0,346.0,24.684207100000002,46.7921562
4,382632315c7400b3ae1eed539a23e892.jpg,CONSTRUCTION_ROAD,696.0,0.0,690.0,112.0,24.684207100000002,46.7921562
3,bedd90aa6c2e7f81cab0e6f7a3e415df.jpg,GARBAGE,320.0,170.0,586.0,464.0,24.7035689,46.8117947
3,bedd90aa6c2e7f81cab0e6f7a3e415df.jpg,GARBAGE,392.0,266.0,570.0,446.0,24.7035689,46.8117947
4,63352e0656131f18bf32a8198d265bc5.jpg,CONSTRUCTION_ROAD,1014.0,16.0,718.0,328.0,24.6980231,46.821250600000006
4,63352e0656131f18bf32a8198d265bc5.jpg,CONSTRUCTION_ROAD,1974.0,1138.0,642.0,344.0,24.6980231,46.821250600000006
2,82316aaeafc6a37767657489875238b4.jpg,POTHOLES,712.0,90.0,1002.0,692.0,24.5669418,46.7688461
2,82316aaeafc6a37767657489875238b4.jpg,POTHOLES,1516.0,786.0,1120.0,750.0,24.5669418,46.7688461
3,82316aaeafc6a37767657489875238b4.jpg,GARBAGE,1216.0,944.0,1072.0,838.0,24.5669418,46.7688461
